fid,NVRID,NAMN,SKYDDSTYP,BESLSTATUS,URSBESLDAT,IKRAFTDATF,URSGALLDAT,SENGALLDAT,TILLSYNSMH,PROVNMHDIS,PROVNMHTIL,LAN,KOMMUN,IUCNKAT,FORVALTARE,AREA_HA,LAND_HA,VATTEN_HA,SKOG_HA,GEOSTATUS,DIARIENR,LAGRUM,BESLMYND
103,"2002301",Salskären,Naturreservat,Gällande,1973/10/11,,1973/11/08,1973/11/08,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Skärgårdsstiftelsen i Stockholms län,75.989,5.8,70.12,1.58,Justerad mot fastighetskarta,11.121-75-71    0188-02-018,Naturvårdslagen,Länsstyrelse
104,"2002920",Lövdalsskogen,Naturreservat,Gällande,2005/05/11,,2005/06/09,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,66.382,66.28,0.01,61.99,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
105,"2043707",Bellberget,Naturreservat,Gällande,2016/12/22,,2017/01/26,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,37.365,37.22,0.2,34.8,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
106,"2052889",Färsna,Naturreservat,Gällande,2022/09/26,,2022/11/02,2022/11/02,,,,Stockholms Län,Norrtälje,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Norrtälje kommun,80.463,80.45,0,61.85,Ospecificerad,511-54506-2022,Miljöbalken,Kommun
107,"2002308",Granholmen,Naturreservat,Gällande,1978/04/10,,1978/05/08,2019/01/10,,,,Stockholms Län,Värmdö,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Skärgårdsstiftelsen i Stockholms län,39.202,18.75,20.51,8.7,Ospecificerad,511-17752-2012,Miljöbalken,Länsstyrelse
108,"2000161",Häverö-Bergby,Naturreservat,Gällande,1983/06/10,,1983/10/17,2026/04/15,,,,Stockholms Län,Norrtälje,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Stockholms län,151.637,149.38,2.26,123.72,Delvis inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
109,"2050368",Ersmossen,Naturreservat,Gällande,2018/12/13,,2019/01/24,2021/05/12,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,61.932,61.8,0,39.31,Slutligt inmätt,511-20118-2020,Miljöbalken,Länsstyrelse
110,"2201441",Hästa klack,Naturreservat,Gällande,2026/01/12,,2026/02/15,2026/02/15,,,,Stockholms Län,Järfälla,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Järfälla kommun,14.239,14.23,0,13.61,Ospecificerad,Dnr KST 2024/683,Miljöbalken,Kommun
111,"2000164",Häverö prästäng,Naturreservat,Gällande,1973/04/24,,1973/05/22,2026/04/15,,,,Stockholms Län,Norrtälje,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Stockholms län,47.626,47.4,0.16,37.18,Justerad mot fastighetskarta,511-62164-2025,Miljöbalken,Länsstyrelse
112,"2043288",Drevviken,Naturreservat,Gällande,2014/06/09,,2014/07/24,2025/12/11,,,,Stockholms Län,"Haninge, Huddinge, Tyresö","0, Områden som ej kan klassificeras enligt IUCN: s system.",Huddinge kommun,146.182,52.08,94.01,33.65,Ospecificerad,KS-2025/1465,Miljöbalken,Kommun
113,"2000619",Kyrksjölöten,Naturreservat,Gällande,1997/04/09,,1997/10/01,1997/10/01,,,,Stockholms Län,Stockholm,"Ia, Strikt naturreservat (Strict Nature Reserve)",Stockholms kommun,50.501,45.21,5.18,34.08,Justerad mot fastighetskarta,96-682-1382:6,Naturvårdslagen,Kommun
114,"2002832",Södergarn,Naturreservat,Gällande,2003/02/24,,2003/03/27,2003/03/27,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,24.693,24.24,0.53,23.55,Slutligt inmätt,18513-1999-26995,Miljöbalken,Länsstyrelse
115,"2000165",Rörvik,Naturreservat,Gällande,1981/04/10,,1981/06/22,2021/05/12,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Norrtälje kommun,24.45,11.15,13.31,8.79,Justerad mot fastighetskarta,,Miljöbalken,Länsstyrelse
116,"2044379",Brandalsund,Naturreservat,Gällande,2016/04/04,,2016/05/06,2016/05/06,,,,Stockholms Län,Södertälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Södertälje kommun,64.699,55.47,9.18,41.79,Ospecificerad,2015-85,Miljöbalken,Kommun
117,"2002292",Villinge Boskapsö,Naturreservat,Gällande,1987/09/07,,1987/10/13,2012/10/17,,,,Stockholms Län,Värmdö,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",SEB rekreationsstiftelse,339.749,113.4,226.37,71.45,Justerad mot fastighetskarta,5112-16856-2012,Miljöbalken,Länsstyrelse
118,"2000620",Älta mosse-Strålsjön,Naturreservat,Gällande,1995/04/24,,1995/08/24,1995/08/24,,,,Stockholms Län,Nacka,"Ia, Strikt naturreservat (Strict Nature Reserve)",Nacka kommun,52.622,51.34,1.29,29.99,Justerad mot fastighetskarta,Nacka kommun  Ä94/77-28,Naturvårdslagen,Kommun
119,"2201411",Stolpaskogens naturreservat,Naturreservat,Gällande,2026/02/09,,2026/03/20,2026/03/20,,,,Stockholms Län,Täby,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Täby kommun,71.33,71.41,0,65.83,Ospecificerad,KS 2025/254-40,Miljöbalken,Kommun
120,"2005627",Trångsundsskogen,Naturreservat,Gällande,2006/04/18,,2006/05/20,2025/12/11,,,,Stockholms Län,"Huddinge, Tyresö","0, Områden som ej kan klassificeras enligt IUCN: s system.",Huddinge kommun,57.52,47.5,10.02,35.15,Ospecificerad,KS-2025/1465,Miljöbalken,Kommun
121,"2043287",Lissmadalen,Naturreservat,Gällande,2014/06/09,,2014/07/24,2025/12/11,,,,Stockholms Län,Huddinge,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Huddinge kommun,185.217,175.5,9.7,70.73,Justerad mot fastighetskarta,KS-2025/1465,Miljöbalken,Kommun
122,"2056664",Mjölnarkärrskogen,Naturreservat,Gällande,2022/11/14,,2022/12/14,2022/12/14,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,23.779,23.75,0,23.71,Slutligt inmätt,5112-63371-2020,Miljöbalken,Länsstyrelse
123,"2201277",Vindsjöbergen,Naturreservat,Gällande,2026/01/27,,2026/02/26,2026/02/26,,,,Stockholms Län,Österåker,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Länsstyrelsen i Stockholms län,145.863,144.95,0.93,108.3,Slutligt inmätt,21793-2019,Miljöbalken,Länsstyrelse
124,"2000008",Yttereneby,Naturreservat,Gällande,1997/02/04,,1997/05/02,1997/05/02,,,,Stockholms Län,Södertälje,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Södertälje kommun,62.547,62.49,0.07,41.59,Justerad mot fastighetskarta,1996.109.433,Naturvårdslagen,Kommun
125,"2014892",Tollare,Naturreservat,Gällande,2009/05/25,,2010/04/20,2010/04/20,,,,Stockholms Län,Nacka,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Nacka kommun,79.837,74.93,4.83,45.17,Justerad mot fastighetskarta,KFKS 2008/214,Miljöbalken,Kommun
126,"2002898",Igelbäcken i Sundbyberg,Naturreservat,Gällande,2004/01/26,,2004/02/25,2004/02/25,,,,Stockholms Län,"Solna, Sundbyberg","Ia, Strikt naturreservat (Strict Nature Reserve)",Sundbybergs kommun,126.888,126.76,0,91.3,Ospecificerad,228/2002-264,Miljöbalken,Kommun
127,"2043732",Ålandsskär,Naturreservat,Gällande,2014/06/17,,2015/03/19,2015/03/19,,,,Stockholms Län,Haninge,"Ia, Strikt naturreservat (Strict Nature Reserve)",Skärgårdsstiftelsen i Stockholms län,18.07,17.66,0.4,0,Ospecificerad,5112-40596-2012,Miljöbalken,Länsstyrelse
128,"2002723",Korshamn,Naturreservat,Gällande,1962/04/30,,1962/05/28,2021/05/12,,,,Stockholms Län,Värmdö,"III, Naturmonument (Natural Monument)",Länsstyrelsen i Stockholms län,1.337,1.26,0.03,0.26,Justerad mot fastighetskarta,511-20118-2020,Miljöbalken,Länsstyrelse
129,"2046554",Tulka,Naturreservat,Gällande,2020/11/22,,2020/12/31,2020/12/31,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,55.586,55.67,0,54.73,Slutligt inmätt,511-24761-2012,Miljöbalken,Länsstyrelse
130,"2002759",Vågsjön,Naturreservat,Gällande,2005/02/10,,2005/03/17,2021/05/12,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,51.237,47.96,3.27,42.73,Slutligt inmätt,,Miljöbalken,Länsstyrelse
131,"2041049",Blågårdsmossen,Naturreservat,Gällande,2013/07/23,,2013/09/05,2021/05/12,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,11.804,11.75,0,10.33,Slutligt inmätt,511-20118-2020,Miljöbalken,Länsstyrelse
132,"2002729",Dyvik,Naturreservat,Gällande,1962/06/21,,1962/07/19,1962/07/19,,,,Stockholms Län,Tyresö,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Enskild markägare,7.197,6.65,0.56,3.55,Slutligt inmätt,III R-2-6     0138-02-002,Naturvårdslagen,Länsstyrelse
133,"2045414",Småbodarna,Naturreservat,Gällande,2017/12/06,,2018/01/11,2021/05/12,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,11.238,11.26,0,11.11,Slutligt inmätt,,Miljöbalken,Länsstyrelse
134,"2000166",Svalgarn,Naturreservat,Gällande,1993/05/03,,1993/07/02,2021/05/12,,,,Stockholms Län,Upplands-Bro,"Ia, Strikt naturreservat (Strict Nature Reserve)",Upplands-Bro kommun,24.788,24.38,0.46,22.77,Justerad mot fastighetskarta,511-20118-2020,Miljöbalken,Länsstyrelse
135,"2025889",Hasselhorn,Naturreservat,Gällande,2014/09/12,,2014/10/16,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,121.02,120.3,0.68,110.94,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
136,"2005585",Svartkärret,Naturreservat,Gällande,2006/11/16,,2006/12/14,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,77.919,77.86,0,69.2,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
137,"2047204",Getholmen,Naturreservat,Gällande,2018/03/12,,2018/04/12,2026/04/15,,,,Stockholms Län,Österåker,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Länsstyrelsen i Stockholms län,9.769,6.83,2.99,4.77,Ospecificerad,511-62164-2025,Miljöbalken,Länsstyrelse
138,"2001393",Orlången,Naturreservat,Gällande,,,,2025/12/11,,,,Stockholms Län,Huddinge,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Huddinge kommun,1732.188,1452.69,279.4,757.92,Ospecificerad,KS-2025/1465,Miljöbalken,Kommun
139,"2030089",Åttesta,Naturreservat,Gällande,2012/08/08,,2012/09/20,2021/05/12,,,,Stockholms Län,"Sigtuna, Vallentuna","IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Stockholms län,46.602,46.63,0,37.26,Slutligt inmätt,,Miljöbalken,Länsstyrelse
140,"2002199",Svenska Högarna,Naturreservat,Gällande,1976/11/12,,1976/12/10,2020/04/23,,,,Stockholms Län,"Norrtälje, Värmdö","Ib, Vildmarksområde (Wilderness Area)",Länsstyrelsen i Stockholms län,60971.418,107.34,60864.05,0.13,Ospecificerad,511-20689-2016,Miljöbalken,Länsstyrelse
141,"2000281",Rimsjö,Naturreservat,Gällande,1946/01/25,,1946/01/25,1992/11/02,,,,Stockholms Län,Norrtälje,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Stockholms län,5.562,5.53,0,4.63,Justerad mot fastighetskarta,"231-1991-984, 0188-02-002",Naturvårdslagen,Länsstyrelse
142,"2052463",Slandön,Naturreservat,Gällande,2019/12/19,,2020/02/07,2026/04/15,,,,Stockholms Län,Södertälje,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Länsstyrelsen i Stockholms län,31.251,30.23,0.98,26.16,Ospecificerad,511-62164-2025,Miljöbalken,Länsstyrelse
143,"2043863",Rösaringsåsen,Naturreservat,Gällande,2015/07/03,,2015/08/05,2026/04/15,,,,Stockholms Län,Upplands-Bro,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,136.24,136.17,0,127.85,Delvis inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
144,"2000631",Malmsjön,Naturreservat,Gällande,1979/09/22,,1979/10/20,2026/04/15,,,,Stockholms Län,"Norrtälje, Österåker","Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,10.592,10.57,0,6.93,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
145,"2014799",Vinterskogen,Naturreservat,Gällande,2009/06/16,,2009/07/22,2009/07/22,,,,Stockholms Län,Botkyrka,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Botkyrka kommun,292.754,278.6,14.21,231.78,Justerad mot fastighetskarta,KS/2008:450,Miljöbalken,Kommun
146,"2001104",Kudoxa,Naturreservat,Gällande,1970/06/03,,1970/07/01,1970/07/01,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,24.4,21.97,2.41,14.45,Justerad mot fastighetskarta,22R11-4-70   0188-02-011,Naturvårdslagen,Länsstyrelse
147,"2000882",Vickelsjön,Naturreservat,Gällande,1999/05/18,,1999/06/21,2021/05/12,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,33.75,33.71,0,31.38,Justerad mot fastighetskarta,,Miljöbalken,Länsstyrelse
148,"2002818",Arsläjan,Naturreservat,Gällande,2002/08/21,,2004/04/29,2021/05/12,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,89.121,28.9,60.21,15.34,Slutligt inmätt,511-20118-2020,Miljöbalken,Länsstyrelse
149,"2000144",Hällsboskogen,Naturreservat,Gällande,1997/04/14,,1997/08/01,1997/08/01,,,,Stockholms Län,Sigtuna,"Ia, Strikt naturreservat (Strict Nature Reserve)",Sigtuna kommun,53.999,53.97,0,50.92,Justerad mot fastighetskarta,96/KA 0349-265,Naturvårdslagen,Kommun
150,"2002732",Storängsudd,Naturreservat,Gällande,1936/10/29,,1936/10/29,2021/05/12,,,,Stockholms Län,Värmdö,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,10.629,10.42,0.23,8.31,Justerad mot fastighetskarta,511-20118-2020,Miljöbalken,Länsstyrelse
151,"2055382",Ryssbergen,Naturreservat,Gällande,2022/02/21,,2023/04/28,2023/04/28,,,,Stockholms Län,Nacka,"Ia, Strikt naturreservat (Strict Nature Reserve)",Nacka kommun,13.601,13.54,0,8.46,Ospecificerad,511-11145-2022,Miljöbalken,Kommun
152,"2056266",Mälarskogen,Naturreservat,Gällande,2022/06/01,,2022/07/20,2022/07/20,,,,Stockholms Län,Botkyrka,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Botkyrka kommun,69.442,62.23,7.17,56.78,Ospecificerad,511-39835-2022,Miljöbalken,Kommun
153,"2000877",Långskär,Naturreservat,Gällande,1979/04/19,,1979/05/17,1979/05/17,,,,Stockholms Län,Värmdö,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Stockholms län,853.973,30.57,823.7,0,Justerad mot fastighetskarta,11.121-580B-76  0120-02-014,Naturvårdslagen,Länsstyrelse
154,"2001105",Fårholmen,Naturreservat,Gällande,1974/01/21,,1974/02/18,1974/02/18,,,,Stockholms Län,Norrtälje,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Stockholms län,13.115,12.94,0.17,6.26,Justerad mot fastighetskarta,11.121-63A-71   0188-02-020,Naturvårdslagen,Länsstyrelse
155,"2001149",Lilla Svedjeholmen,Naturreservat,Gällande,1969/10/23,,1969/11/20,1969/11/20,,,,Stockholms Län,Värmdö,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Länsstyrelsen i Stockholms län,8.109,7.78,0.32,3.2,Justerad mot fastighetskarta,22R-11-915-68   0120-02-021,Naturvårdslagen,Länsstyrelse
156,"2001111",Mörtö-Bunsö,Naturreservat,Gällande,1974/05/07,,1974/06/04,2026/04/15,,,,Stockholms Län,Värmdö,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,49.951,49.3,0.56,28.5,Justerad mot fastighetskarta,511-62164-2025,Miljöbalken,Länsstyrelse
157,"2005704",Österby,Naturreservat,Gällande,2006/11/16,,2006/12/14,2026/04/15,,,,Stockholms Län,Nynäshamn,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,130.966,130.95,0,115.61,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
158,"2000009",Borgskogen,Naturreservat,Gällande,1995/11/29,,1996/03/19,2021/05/12,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,36.978,36.99,0,34.81,Justerad mot fastighetskarta,511-20118-2020,Miljöbalken,Länsstyrelse
159,"2060101",Farstanäs,Naturreservat,Gällande,2022/11/07,,2023/08/03,2023/08/03,,,,Stockholms Län,Södertälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Södertälje kommun,321.049,286.6,34.48,156.2,Justerad mot fastighetskarta,511-xxxx-2023,Miljöbalken,Kommun
160,"2002306",Hemholmen,Naturreservat,Gällande,1970/09/11,,1970/10/09,1970/10/09,,,,Stockholms Län,Värmdö,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,1.892,1.11,0.79,0.04,Justerad mot fastighetskarta,22R-11-75-70   0120-02-022,Naturvårdslagen,Länsstyrelse
161,"2005584",Ösbyträsk,Naturreservat,Gällande,2006/03/29,,2009/05/28,2009/08/04,,,,Stockholms Län,Värmdö,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Värmdö kommun,123.791,108.58,15.21,80.34,Ospecificerad,"04KS/0399-301",Miljöbalken,Kommun
162,"2022233",Gärdesudden,Naturreservat,Gällande,2010/04/19,,2010/06/02,2010/06/02,,,,Stockholms Län,Nacka,"Ia, Strikt naturreservat (Strict Nature Reserve)",Nacka kommun,21.733,10.69,11.03,7.65,Justerad mot fastighetskarta,KFKS 2009/199-265,Miljöbalken,Kommun
163,"2043007",Vattmoraberget,Naturreservat,Gällande,2015/02/25,,2015/04/02,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,102.789,102.81,0,88.82,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
164,"2056161",Hållviksjön,Naturreservat,Gällande,2021/11/16,,2021/12/22,2021/12/22,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,31.061,30.25,0.82,27.82,Slutligt inmätt,511-63372-2020,Miljöbalken,Länsstyrelse
165,"2051678",Kasberget,Naturreservat,Gällande,2019/04/25,,2019/05/31,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,23.94,18.65,5.3,15.79,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
166,"2014207",Bränntorpet,Naturreservat,Gällande,2009/05/29,,2009/07/02,2021/05/12,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,29.086,29.04,0,27.84,Slutligt inmätt,511-20118-2020,Miljöbalken,Länsstyrelse
167,"2005484",Nackareservatet i Nacka,Naturreservat,Gällande,2005/09/12,,2007/06/07,2007/06/07,,,,Stockholms Län,"Nacka, Stockholm","V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Stockholms kommun,754.424,650.72,103.69,459.13,Ospecificerad,KFKS 2005/502,Miljöbalken,Kommun
168,"2002298",Sundby,Naturreservat,Gällande,1965/05/21,,1965/06/18,2026/04/15,,,,Stockholms Län,Haninge,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Stockholms län,5174.869,928.16,4246.81,454.01,Ospecificerad,511-62164-2025,Miljöbalken,Länsstyrelse
169,"2028949",Broby,Naturreservat,Gällande,2012/02/22,,2012/04/12,2021/05/12,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,37.144,37.18,0,36.38,Slutligt inmätt,511-20118-2020,Miljöbalken,Länsstyrelse
170,"2013371",Stora Alsjön,Naturreservat,Gällande,2008/04/17,,2008/06/02,2026/04/15,,,,Stockholms Län,Södertälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,248.023,232.11,15.96,147.1,Ospecificerad,511-62164-2025,Miljöbalken,Länsstyrelse
171,"2000890",Kålgårdsön,Naturreservat,Gällande,1974/02/28,,1974/03/28,2020/10/16,,,,Stockholms Län,Österåker,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Skärgårdsstiftelsen i Stockholms län,103.27,102.58,0.59,66.58,Ospecificerad,,,Länsstyrelse
172,"2053301",Väddö Prästgård,Naturreservat,Gällande,2021/02/22,,2021/03/25,2021/03/25,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,19.085,19.13,0,19.12,Slutligt inmätt,5112-20508-2020,Miljöbalken,Länsstyrelse
173,"2000623",Hammarberget,Naturreservat,Gällande,1993/10/26,,1993/12/26,2021/05/12,,,,Stockholms Län,Tyresö,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,57.872,38.48,19.42,24.86,Justerad mot fastighetskarta,511-20118-2020,Miljöbalken,Länsstyrelse
174,"2042994",Rotholma,Naturreservat,Gällande,2016/06/09,,2016/07/07,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,90.926,88.24,2.67,77.73,Slutligt inmätt,511-62164-2025,Miljöbalken,Länsstyrelse
175,"2000886",Stor-Kunnan,Naturreservat,Gällande,1975/10/27,,1975/11/24,1975/11/24,,,,Stockholms Län,Värmdö,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,31.471,30.98,0.55,10.97,Justerad mot fastighetskarta,11.121-399-73  0120-02-036,Naturvårdslagen,Länsstyrelse
176,"2014210",Nåttarö,Naturreservat,Gällande,2008/05/16,,2008/06/19,2026/04/15,,,,Stockholms Län,Haninge,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Skärgårdsstiftelsen i Stockholms län,6565.354,610.78,5954.54,314.74,Ospecificerad,511-62164-2025,Miljöbalken,Länsstyrelse
177,"2000955",Nämdö,Naturreservat,Gällande,2002/03/22,,2003/05/08,2026/04/15,,,,Stockholms Län,"Haninge, Värmdö","IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Skärgårdsstiftelsen i Stockholms län,2236.438,495.38,1741,283.06,Ospecificerad,511-62164-2025,Miljöbalken,Länsstyrelse
178,"2000842",Rönnskärs udde,Naturreservat,Gällande,2002/05/07,,2002/06/04,2002/06/04,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Norrtälje kommun,2.275,2.19,0.09,1.35,Justerad mot fastighetskarta,,Miljöbalken,Kommun
179,"2026470",Rudan,Naturreservat,Gällande,2010/06/07,,2011/02/17,2024/01/19,,,,Stockholms Län,Haninge,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Haninge kommun,258.404,247.16,11.22,178.06,Ospecificerad,KS 2022-00259,Miljöbalken,Kommun
180,"2002196",Domarudden,Naturreservat,Gällande,1980/02/04,,1980/03/03,2021/05/12,,,,Stockholms Län,Österåker,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Österåkers kommun,23.086,14.55,8.49,10.25,Justerad mot fastighetskarta,511-20118-2020,Miljöbalken,Länsstyrelse
181,"2000879",Lidö,Naturreservat,Gällande,1988/11/04,,1989/02/13,2026/04/15,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Skärgårdsstiftelsen i Stockholms län,1211.666,328.78,882.75,265.67,Justerad mot fastighetskarta,511-62164-2025,Miljöbalken,Länsstyrelse
182,"2048600",Råstasjön,Naturreservat,Gällande,2017/12/18,,2018/02/09,2018/02/09,,,,Stockholms Län,Solna,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Solna kommun,39.771,22.28,17.53,13.13,Ospecificerad,KS/2014:213,Miljöbalken,Kommun
183,"2049262",Hamnskär,Naturreservat,Gällande,2018/12/11,,2019/01/10,2021/05/12,,,,Stockholms Län,Södertälje,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Stockholms län,203.35,74.28,129.17,45.48,Justerad mot fastighetskarta,,Miljöbalken,Länsstyrelse
184,"2002819",Mörtsjöskogen,Naturreservat,Gällande,2004/09/22,,2004/10/21,2021/05/12,,,,Stockholms Län,"Norrtälje, Vallentuna","Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,37.844,37.77,0.12,36.75,Ospecificerad,,Miljöbalken,Länsstyrelse
185,"2056263",Kursöskogen Södra,Naturreservat,Gällande,2022/02/24,,2022/04/07,2022/04/07,,,,Stockholms Län,Norrtälje,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Stockholms län,2.079,2.05,0,2.05,Slutligt inmätt,5112-5002-2016,Miljöbalken,Länsstyrelse
186,"2000141",Hälsingholmarna,Naturreservat,Gällande,1970/12/21,,1971/01/18,1999/12/13,,,,Stockholms Län,"Värmdö, Österåker","Ia, Strikt naturreservat (Strict Nature Reserve)",Skärgårdsstiftelsen i Stockholms län,544.423,37.82,506.69,12.3,Justerad mot fastighetskarta,18536-1998-28183,Naturvårdslagen,Länsstyrelse
187,"2002201",Biskopsö,Naturreservat,Gällande,1983/06/29,,1983/08/12,2023/02/09,,,,Stockholms Län,Värmdö,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Stockholms län,5122.814,328.79,4793.99,88.78,Justerad mot fastighetskarta,511-59235-2022,Miljöbalken,Länsstyrelse
